,Date
0,2022-08-29 00:00:00
1,2022-09-05 00:00:00
2,2022-09-12 00:00:00
3,Month
4,2021-04-26 00:00:00
5,2021-05-03 00:00:00
6,2021-05-10 00:00:00
7,Month
8,2021-08-30 00:00:00
9,2021-09-06 00:00:00
10,2021-09-13 00:00:00
11,Month
12,2021-09-13 00:00:00
13,2021-09-20 00:00:00
14,2021-09-27 00:00:00
15,Month
16,2020-01-13 00:00:00
17,2020-01-20 00:00:00
18,2020-01-27 00:00:00
19,Month
20,2022-09-12 00:00:00
21,2022-09-19 00:00:00
22,2022-09-26 00:00:00
23,Month
24,2022-11-14 00:00:00
25,2022-11-21 00:00:00
26,2022-11-28 00:00:00
27,Month
28,2020-06-29 00:00:00
29,2020-07-06 00:00:00
30,2020-07-13 00:00:00
31,Month
32,2021-04-19 00:00:00
33,2021-04-26 00:00:00
34,2021-05-03 00:00:00
35,Month
36,2020-06-01 00:00:00
37,2020-06-08 00:00:00
38,2020-06-15 00:00:00
39,Month
40,2020-09-28 00:00:00
41,2020-10-05 00:00:00
42,2020-10-12 00:00:00
43,Month
44,2022-02-14 00:00:00
45,2022-02-21 00:00:00
46,2022-02-28 00:00:00
47,Month
48,2022-12-19 00:00:00
49,2022-12-26 00:00:00
50,2023-01-02 00:00:00
51,Month
52,2022-12-26 00:00:00
53,2023-01-02 00:00:00
54,2023-01-09 00:00:00
55,Month
56,2021-08-02 00:00:00
57,2021-08-09 00:00:00
58,2021-08-16 00:00:00
59,Month
60,2019-07-08 00:00:00
61,2019-07-15 00:00:00
62,2019-07-22 00:00:00
63,Month
64,2021-04-05 00:00:00
65,2021-04-12 00:00:00
66,2021-04-19 00:00:00
67,Month
68,2020-06-08 00:00:00
69,2020-06-15 00:00:00
70,2020-06-22 00:00:00
71,Month
72,2023-01-30 00:00:00
73,2023-02-06 00:00:00
74,2023-02-13 00:00:00
75,Month
76,2022-03-21 00:00:00
77,2022-03-28 00:00:00
78,2022-04-04 00:00:00
79,Month
80,2020-12-21 00:00:00
81,2020-12-28 00:00:00
82,2021-01-04 00:00:00
83,Month
84,2019-12-02 00:00:00
85,2019-12-09 00:00:00
86,2019-12-16 00:00:00
87,Month
88,2021-08-09 00:00:00
89,2021-08-16 00:00:00
90,2021-08-23 00:00:00
91,Month
92,2021-06-28 00:00:00
93,2021-07-05 00:00:00
94,2021-07-12 00:00:00
95,Month
96,2019-02-04 00:00:00
97,2019-02-11 00:00:00
98,2019-02-18 00:00:00
99,Month
100,2020-10-05 00:00:00
101,2020-10-12 00:00:00
102,2020-10-19 00:00:00
103,Month
104,2019-01-14 00:00:00
105,2019-01-21 00:00:00
106,2019-01-28 00:00:00
107,Month
108,2021-07-12 00:00:00
109,2021-07-19 00:00:00
110,2021-07-26 00:00:00
111,Month
112,2021-06-14 00:00:00
113,2021-06-21 00:00:00
114,2021-06-28 00:00:00
115,Month
116,2020-02-03 00:00:00
117,2020-02-10 00:00:00
118,2020-02-17 00:00:00
119,Month
120,2020-08-17 00:00:00
121,2020-08-24 00:00:00
122,2020-08-31 00:00:00
123,Month
124,2021-05-10 00:00:00
125,2021-05-17 00:00:00
126,2021-05-24 00:00:00
127,Month
128,2021-10-25 00:00:00
129,2021-11-01 00:00:00
130,2021-11-08 00:00:00
131,Month
132,2023-02-13 00:00:00
133,2023-02-20 00:00:00
134,2023-02-27 00:00:00
135,Month
136,2020-05-11 00:00:00
137,2020-05-18 00:00:00
138,2020-05-25 00:00:00
139,Month
140,2019-08-26 00:00:00
141,2019-09-02 00:00:00
142,2019-09-09 00:00:00
143,Month
144,2019-10-07 00:00:00
145,2019-10-14 00:00:00
146,2019-10-21 00:00:00
147,Month
148,2019-02-11 00:00:00
149,2019-02-18 00:00:00
150,2019-02-25 00:00:00
151,Month
152,2020-03-02 00:00:00
153,2020-03-09 00:00:00
154,2020-03-16 00:00:00
155,Month
156,2019-03-04 00:00:00
157,2019-03-11 00:00:00
158,2019-03-18 00:00:00
159,Month
160,2022-05-09 00:00:00
161,2022-05-16 00:00:00
162,2022-05-23 00:00:00
163,Month
164,2021-05-31 00:00:00
165,2021-06-07 00:00:00
166,2021-06-14 00:00:00
