,Date
0,2022-08-22 00:00:00
1,2022-08-29 00:00:00
2,2022-09-05 00:00:00
3,2022-09-12 00:00:00
4,Month
5,2021-04-26 00:00:00
6,2021-05-03 00:00:00
7,2021-05-10 00:00:00
8,2021-05-17 00:00:00
9,Month
10,2021-08-30 00:00:00
11,2021-09-06 00:00:00
12,2021-09-13 00:00:00
13,2021-09-20 00:00:00
14,Month
15,2021-09-13 00:00:00
16,2021-09-20 00:00:00
17,2021-09-27 00:00:00
18,2021-10-04 00:00:00
19,Month
20,2020-01-13 00:00:00
21,2020-01-20 00:00:00
22,2020-01-27 00:00:00
23,2020-02-03 00:00:00
24,Month
25,2022-09-05 00:00:00
26,2022-09-12 00:00:00
27,2022-09-19 00:00:00
28,2022-09-26 00:00:00
29,Month
30,2022-11-07 00:00:00
31,2022-11-14 00:00:00
32,2022-11-21 00:00:00
33,2022-11-28 00:00:00
34,Month
35,2020-06-29 00:00:00
36,2020-07-06 00:00:00
37,2020-07-13 00:00:00
38,2020-07-20 00:00:00
39,Month
40,2021-04-19 00:00:00
41,2021-04-26 00:00:00
42,2021-05-03 00:00:00
43,2021-05-10 00:00:00
44,Month
45,2020-06-01 00:00:00
46,2020-06-08 00:00:00
47,2020-06-15 00:00:00
48,2020-06-22 00:00:00
49,Month
50,2020-09-28 00:00:00
51,2020-10-05 00:00:00
52,2020-10-12 00:00:00
53,2020-10-19 00:00:00
54,Month
55,2022-02-14 00:00:00
56,2022-02-21 00:00:00
57,2022-02-28 00:00:00
58,2022-03-07 00:00:00
59,Month
60,2022-12-12 00:00:00
61,2022-12-19 00:00:00
62,2022-12-26 00:00:00
63,2023-01-02 00:00:00
64,Month
65,2022-12-19 00:00:00
66,2022-12-26 00:00:00
67,2023-01-02 00:00:00
68,2023-01-09 00:00:00
69,Month
70,2021-08-02 00:00:00
71,2021-08-09 00:00:00
72,2021-08-16 00:00:00
73,2021-08-23 00:00:00
74,Month
75,2019-07-08 00:00:00
76,2019-07-15 00:00:00
77,2019-07-22 00:00:00
78,2019-07-29 00:00:00
79,Month
80,2021-04-05 00:00:00
81,2021-04-12 00:00:00
82,2021-04-19 00:00:00
83,2021-04-26 00:00:00
84,Month
85,2020-06-08 00:00:00
86,2020-06-15 00:00:00
87,2020-06-22 00:00:00
88,2020-06-29 00:00:00
89,Month
90,2023-01-23 00:00:00
91,2023-01-30 00:00:00
92,2023-02-06 00:00:00
93,2023-02-13 00:00:00
94,Month
95,2022-03-21 00:00:00
96,2022-03-28 00:00:00
97,2022-04-04 00:00:00
98,2022-04-11 00:00:00
99,Month
100,2020-12-21 00:00:00
101,2020-12-28 00:00:00
102,2021-01-04 00:00:00
103,2021-01-11 00:00:00
104,Month
105,2019-12-02 00:00:00
106,2019-12-09 00:00:00
107,2019-12-16 00:00:00
108,2019-12-23 00:00:00
109,Month
110,2021-08-09 00:00:00
111,2021-08-16 00:00:00
112,2021-08-23 00:00:00
113,2021-08-30 00:00:00
114,Month
115,2021-06-28 00:00:00
116,2021-07-05 00:00:00
117,2021-07-12 00:00:00
118,2021-07-19 00:00:00
119,Month
120,2019-02-04 00:00:00
121,2019-02-11 00:00:00
122,2019-02-18 00:00:00
123,2019-02-25 00:00:00
124,Month
125,2020-10-05 00:00:00
126,2020-10-12 00:00:00
127,2020-10-19 00:00:00
128,2020-10-26 00:00:00
129,Month
130,2019-01-14 00:00:00
131,2019-01-21 00:00:00
132,2019-01-28 00:00:00
133,2019-02-04 00:00:00
134,Month
135,2021-07-12 00:00:00
