,Date
0,2023-02-20 00:00:00
1,2023-02-27 00:00:00
2,2023-03-06 00:00:00
3,2023-03-13 00:00:00
4,Month
5,2022-11-28 00:00:00
6,2022-12-05 00:00:00
7,2022-12-12 00:00:00
8,2022-12-19 00:00:00
9,Month
10,2021-04-05 00:00:00
11,2021-04-12 00:00:00
12,2021-04-19 00:00:00
13,2021-04-26 00:00:00
14,Month
15,2021-04-26 00:00:00
16,2021-05-03 00:00:00
17,2021-05-10 00:00:00
18,2021-05-17 00:00:00
19,Month
20,2021-06-07 00:00:00
21,2021-06-14 00:00:00
22,2021-06-21 00:00:00
23,2021-06-28 00:00:00
24,Month
25,2022-05-09 00:00:00
26,2022-05-16 00:00:00
27,2022-05-23 00:00:00
28,2022-05-30 00:00:00
29,Month
30,2023-01-02 00:00:00
31,2023-01-09 00:00:00
32,2023-01-16 00:00:00
33,2023-01-23 00:00:00
34,Month
35,2021-03-01 00:00:00
36,2021-03-08 00:00:00
37,2021-03-15 00:00:00
38,2021-03-22 00:00:00
39,Month
40,2021-08-02 00:00:00
41,2021-08-09 00:00:00
42,2021-08-16 00:00:00
43,2021-08-23 00:00:00
44,Month
45,2021-01-11 00:00:00
46,2021-01-18 00:00:00
47,2021-01-25 00:00:00
48,2021-02-01 00:00:00
49,Month
50,2020-08-03 00:00:00
51,2020-08-10 00:00:00
52,2020-08-17 00:00:00
53,2020-08-24 00:00:00
54,Month
55,2022-06-13 00:00:00
56,2022-06-20 00:00:00
57,2022-06-27 00:00:00
58,2022-07-04 00:00:00
59,Month
60,2022-07-11 00:00:00
61,2022-07-18 00:00:00
62,2022-07-25 00:00:00
63,2022-08-01 00:00:00
64,Month
65,2020-03-16 00:00:00
66,2020-03-23 00:00:00
67,2020-03-30 00:00:00
68,2020-04-06 00:00:00
69,Month
70,2022-04-04 00:00:00
71,2022-04-11 00:00:00
72,2022-04-18 00:00:00
73,2022-04-25 00:00:00
74,Month
75,2021-07-19 00:00:00
76,2021-07-26 00:00:00
77,2021-08-02 00:00:00
78,2021-08-09 00:00:00
79,Month
80,2020-01-27 00:00:00
81,2020-02-03 00:00:00
82,2020-02-10 00:00:00
83,2020-02-17 00:00:00
84,Month
85,2021-02-01 00:00:00
86,2021-02-08 00:00:00
87,2021-02-15 00:00:00
88,2021-02-22 00:00:00
89,Month
90,2020-11-30 00:00:00
91,2020-12-07 00:00:00
92,2020-12-14 00:00:00
93,2020-12-21 00:00:00
94,Month
95,2022-12-19 00:00:00
96,2022-12-26 00:00:00
97,2023-01-02 00:00:00
98,2023-01-09 00:00:00
99,Month
100,2020-01-13 00:00:00
101,2020-01-20 00:00:00
102,2020-01-27 00:00:00
103,2020-02-03 00:00:00
104,Month
105,2020-03-02 00:00:00
106,2020-03-09 00:00:00
107,2020-03-16 00:00:00
108,2020-03-23 00:00:00
109,Month
110,2020-09-21 00:00:00
111,2020-09-28 00:00:00
112,2020-10-05 00:00:00
113,2020-10-12 00:00:00
114,Month
115,2022-03-28 00:00:00
116,2022-04-04 00:00:00
117,2022-04-11 00:00:00
118,2022-04-18 00:00:00
119,Month
120,2021-09-27 00:00:00
121,2021-10-04 00:00:00
122,2021-10-11 00:00:00
123,2021-10-18 00:00:00
124,Month
125,2020-03-23 00:00:00
126,2020-03-30 00:00:00
127,2020-04-06 00:00:00
128,2020-04-13 00:00:00
129,Month
130,2022-04-18 00:00:00
131,2022-04-25 00:00:00
132,2022-05-02 00:00:00
133,2022-05-09 00:00:00
134,Month
135,2022-09-12 00:00:00
136,2022-09-19 00:00:00
137,2022-09-26 00:00:00
138,2022-10-03 00:00:00
139,Month
140,2020-07-06 00:00:00
141,2020-07-13 00:00:00
142,2020-07-20 00:00:00
143,2020-07-27 00:00:00
144,Month
145,2022-10-24 00:00:00
146,2022-10-31 00:00:00
147,2022-11-07 00:00:00
148,2022-11-14 00:00:00
149,Month
150,2020-06-08 00:00:00
151,2020-06-15 00:00:00
152,2020-06-22 00:00:00
153,2020-06-29 00:00:00
154,Month
155,2021-07-05 00:00:00
156,2021-07-12 00:00:00
157,2021-07-19 00:00:00
158,2021-07-26 00:00:00
159,Month
160,2022-05-30 00:00:00
161,2022-06-06 00:00:00
162,2022-06-13 00:00:00
163,2022-06-20 00:00:00
164,Month
165,2022-10-31 00:00:00
166,2022-11-07 00:00:00
167,2022-11-14 00:00:00
168,2022-11-21 00:00:00
169,Month
170,2020-02-17 00:00:00
171,2020-02-24 00:00:00
172,2020-03-02 00:00:00
173,2020-03-09 00:00:00
174,Month
175,2022-05-02 00:00:00
176,2022-05-09 00:00:00
177,2022-05-16 00:00:00
178,2022-05-23 00:00:00
179,Month
180,2020-08-24 00:00:00
181,2020-08-31 00:00:00
182,2020-09-07 00:00:00
183,2020-09-14 00:00:00
184,Month
185,2023-02-13 00:00:00
186,2023-02-20 00:00:00
187,2023-02-27 00:00:00
188,2023-03-06 00:00:00
189,Month
190,2021-01-25 00:00:00
191,2021-02-01 00:00:00
192,2021-02-08 00:00:00
193,2021-02-15 00:00:00
194,Month
195,2020-05-18 00:00:00
196,2020-05-25 00:00:00
197,2020-06-01 00:00:00
198,2020-06-08 00:00:00
199,Month
200,2020-02-03 00:00:00
201,2020-02-10 00:00:00
202,2020-02-17 00:00:00
203,2020-02-24 00:00:00
204,Month
205,2020-06-22 00:00:00
206,2020-06-29 00:00:00
207,2020-07-06 00:00:00
208,2020-07-13 00:00:00
209,Month
210,2022-09-19 00:00:00
211,2022-09-26 00:00:00
212,2022-10-03 00:00:00
213,2022-10-10 00:00:00
214,Month
215,2022-07-04 00:00:00
216,2022-07-11 00:00:00
217,2022-07-18 00:00:00
218,2022-07-25 00:00:00
219,Month
220,2021-02-22 00:00:00
221,2021-03-01 00:00:00
222,2021-03-08 00:00:00
223,2021-03-15 00:00:00
224,Month
225,2020-09-14 00:00:00
226,2020-09-21 00:00:00
227,2020-09-28 00:00:00
228,2020-10-05 00:00:00
229,Month
230,2022-12-12 00:00:00
231,2022-12-19 00:00:00
232,2022-12-26 00:00:00
233,2023-01-02 00:00:00
234,Month
235,2022-02-14 00:00:00
236,2022-02-21 00:00:00
237,2022-02-28 00:00:00
238,2022-03-07 00:00:00
239,Month
240,2023-01-09 00:00:00
241,2023-01-16 00:00:00
242,2023-01-23 00:00:00
243,2023-01-30 00:00:00
244,Month
245,2021-10-04 00:00:00
