,Date
0,2018-12-31 00:00:00
1,2019-01-07 00:00:00
2,2019-01-14 00:00:00
0,Month
1,2019-01-07 00:00:00
2,2019-01-14 00:00:00
3,2019-01-21 00:00:00
0,Month
2,2019-01-14 00:00:00
3,2019-01-21 00:00:00
4,2019-01-28 00:00:00
0,Month
3,2019-01-21 00:00:00
4,2019-01-28 00:00:00
5,2019-02-04 00:00:00
0,Month
4,2019-01-28 00:00:00
5,2019-02-04 00:00:00
6,2019-02-11 00:00:00
0,Month
5,2019-02-04 00:00:00
6,2019-02-11 00:00:00
7,2019-02-18 00:00:00
0,Month
6,2019-02-11 00:00:00
7,2019-02-18 00:00:00
8,2019-02-25 00:00:00
0,Month
7,2019-02-18 00:00:00
8,2019-02-25 00:00:00
9,2019-03-04 00:00:00
0,Month
8,2019-02-25 00:00:00
9,2019-03-04 00:00:00
10,2019-03-11 00:00:00
0,Month
9,2019-03-04 00:00:00
10,2019-03-11 00:00:00
11,2019-03-18 00:00:00
0,Month
10,2019-03-11 00:00:00
11,2019-03-18 00:00:00
12,2019-03-25 00:00:00
0,Month
11,2019-03-18 00:00:00
12,2019-03-25 00:00:00
13,2019-04-01 00:00:00
0,Month
12,2019-03-25 00:00:00
13,2019-04-01 00:00:00
14,2019-04-08 00:00:00
0,Month
13,2019-04-01 00:00:00
14,2019-04-08 00:00:00
15,2019-04-15 00:00:00
0,Month
14,2019-04-08 00:00:00
15,2019-04-15 00:00:00
16,2019-04-22 00:00:00
0,Month
15,2019-04-15 00:00:00
16,2019-04-22 00:00:00
17,2019-04-29 00:00:00
0,Month
16,2019-04-22 00:00:00
17,2019-04-29 00:00:00
18,2019-05-06 00:00:00
0,Month
17,2019-04-29 00:00:00
18,2019-05-06 00:00:00
19,2019-05-13 00:00:00
0,Month
18,2019-05-06 00:00:00
19,2019-05-13 00:00:00
20,2019-05-20 00:00:00
0,Month
19,2019-05-13 00:00:00
20,2019-05-20 00:00:00
21,2019-05-27 00:00:00
0,Month
20,2019-05-20 00:00:00
21,2019-05-27 00:00:00
22,2019-06-03 00:00:00
0,Month
21,2019-05-27 00:00:00
22,2019-06-03 00:00:00
23,2019-06-10 00:00:00
0,Month
22,2019-06-03 00:00:00
23,2019-06-10 00:00:00
24,2019-06-17 00:00:00
0,Month
23,2019-06-10 00:00:00
24,2019-06-17 00:00:00
25,2019-06-24 00:00:00
0,Month
24,2019-06-17 00:00:00
25,2019-06-24 00:00:00
26,2019-07-01 00:00:00
0,Month
25,2019-06-24 00:00:00
26,2019-07-01 00:00:00
27,2019-07-08 00:00:00
0,Month
26,2019-07-01 00:00:00
27,2019-07-08 00:00:00
28,2019-07-15 00:00:00
