,Date
0,2018-11-12 00:00:00
1,2018-11-19 00:00:00
2,2018-11-26 00:00:00
3,Month
4,2018-09-17 00:00:00
5,2018-09-24 00:00:00
6,2018-10-01 00:00:00
7,Month
8,2021-04-12 00:00:00
9,2021-04-19 00:00:00
10,2021-04-26 00:00:00
11,Month
12,2020-02-24 00:00:00
13,2020-03-02 00:00:00
14,2020-03-09 00:00:00
15,Month
16,2018-03-26 00:00:00
17,2018-04-02 00:00:00
18,2018-04-09 00:00:00
19,Month
20,2022-06-13 00:00:00
21,2022-06-20 00:00:00
22,2022-06-27 00:00:00
23,Month
24,2018-02-12 00:00:00
25,2018-02-19 00:00:00
26,2018-02-26 00:00:00
27,Month
28,2021-12-20 00:00:00
29,2021-12-27 00:00:00
30,2022-01-03 00:00:00
31,Month
32,2021-11-01 00:00:00
33,2021-11-08 00:00:00
34,2021-11-15 00:00:00
35,Month
36,2019-09-23 00:00:00
37,2019-09-30 00:00:00
38,2019-10-07 00:00:00
39,Month
40,2021-01-18 00:00:00
41,2021-01-25 00:00:00
42,2021-02-01 00:00:00
43,Month
44,2020-09-14 00:00:00
45,2020-09-21 00:00:00
46,2020-09-28 00:00:00
47,Month
48,2020-09-21 00:00:00
49,2020-09-28 00:00:00
50,2020-10-05 00:00:00
51,Month
52,2018-09-03 00:00:00
53,2018-09-10 00:00:00
54,2018-09-17 00:00:00
55,Month
56,2020-08-10 00:00:00
57,2020-08-17 00:00:00
58,2020-08-24 00:00:00
59,Month
60,2021-10-04 00:00:00
61,2021-10-11 00:00:00
62,2021-10-18 00:00:00
63,Month
64,2018-10-01 00:00:00
65,2018-10-08 00:00:00
66,2018-10-15 00:00:00
67,Month
68,2020-06-01 00:00:00
69,2020-06-08 00:00:00
70,2020-06-15 00:00:00
71,Month
72,2019-02-04 00:00:00
73,2019-02-11 00:00:00
74,2019-02-18 00:00:00
75,Month
76,2021-12-27 00:00:00
77,2022-01-03 00:00:00
78,2022-01-10 00:00:00
79,Month
80,2020-08-31 00:00:00
81,2020-09-07 00:00:00
82,2020-09-14 00:00:00
83,Month
84,2019-03-04 00:00:00
85,2019-03-11 00:00:00
86,2019-03-18 00:00:00
87,Month
88,2021-03-15 00:00:00
89,2021-03-22 00:00:00
90,2021-03-29 00:00:00
91,Month
92,2022-05-02 00:00:00
93,2022-05-09 00:00:00
94,2022-05-16 00:00:00
95,Month
96,2021-08-23 00:00:00
97,2021-08-30 00:00:00
98,2021-09-06 00:00:00
99,Month
100,2022-01-24 00:00:00
101,2022-01-31 00:00:00
102,2022-02-07 00:00:00
103,Month
104,2021-01-04 00:00:00
105,2021-01-11 00:00:00
106,2021-01-18 00:00:00
107,Month
108,2018-01-15 00:00:00
109,2018-01-22 00:00:00
110,2018-01-29 00:00:00
111,Month
112,2020-06-29 00:00:00
113,2020-07-06 00:00:00
114,2020-07-13 00:00:00
115,Month
116,2020-04-20 00:00:00
117,2020-04-27 00:00:00
118,2020-05-04 00:00:00
119,Month
120,2021-06-28 00:00:00
121,2021-07-05 00:00:00
122,2021-07-12 00:00:00
123,Month
124,2018-10-08 00:00:00
125,2018-10-15 00:00:00
126,2018-10-22 00:00:00
127,Month
128,2021-12-06 00:00:00
129,2021-12-13 00:00:00
130,2021-12-20 00:00:00
131,Month
132,2022-01-31 00:00:00
133,2022-02-07 00:00:00
134,2022-02-14 00:00:00
135,Month
136,2019-04-29 00:00:00
137,2019-05-06 00:00:00
138,2019-05-13 00:00:00
139,Month
140,2022-11-14 00:00:00
141,2022-11-21 00:00:00
142,2022-11-28 00:00:00
143,Month
144,2018-12-03 00:00:00
145,2018-12-10 00:00:00
146,2018-12-17 00:00:00
147,Month
148,2022-07-11 00:00:00
149,2022-07-18 00:00:00
150,2022-07-25 00:00:00
151,Month
152,2022-08-29 00:00:00
153,2022-09-05 00:00:00
154,2022-09-12 00:00:00
155,Month
156,2018-04-16 00:00:00
157,2018-04-23 00:00:00
158,2018-04-30 00:00:00
159,Month
160,2022-09-26 00:00:00
161,2022-10-03 00:00:00
162,2022-10-10 00:00:00
163,Month
164,2022-03-07 00:00:00
165,2022-03-14 00:00:00
166,2022-03-21 00:00:00
167,Month
168,2020-07-20 00:00:00
169,2020-07-27 00:00:00
170,2020-08-03 00:00:00
171,Month
172,2021-06-21 00:00:00
173,2021-06-28 00:00:00
174,2021-07-05 00:00:00
175,Month
176,2018-11-26 00:00:00
177,2018-12-03 00:00:00
178,2018-12-10 00:00:00
179,Month
180,2021-02-01 00:00:00
181,2021-02-08 00:00:00
182,2021-02-15 00:00:00
183,Month
184,2022-12-26 00:00:00
185,2023-01-02 00:00:00
186,2023-01-09 00:00:00
187,Month
188,2019-11-11 00:00:00
189,2019-11-18 00:00:00
190,2019-11-25 00:00:00
191,Month
192,2019-10-07 00:00:00
193,2019-10-14 00:00:00
194,2019-10-21 00:00:00
195,Month
196,2018-07-02 00:00:00
197,2018-07-09 00:00:00
198,2018-07-16 00:00:00
199,Month
200,2022-09-19 00:00:00
201,2022-09-26 00:00:00
202,2022-10-03 00:00:00
203,Month
204,2021-04-19 00:00:00
205,2021-04-26 00:00:00
206,2021-05-03 00:00:00
207,Month
208,2020-04-06 00:00:00
209,2020-04-13 00:00:00
210,2020-04-20 00:00:00
211,Month
212,2020-03-30 00:00:00
213,2020-04-06 00:00:00
214,2020-04-13 00:00:00
215,Month
216,2018-07-09 00:00:00
217,2018-07-16 00:00:00
218,2018-07-23 00:00:00
219,Month
220,2019-09-16 00:00:00
221,2019-09-23 00:00:00
222,2019-09-30 00:00:00
223,Month
224,2019-04-15 00:00:00
225,2019-04-22 00:00:00
226,2019-04-29 00:00:00
227,Month
228,2020-04-13 00:00:00
229,2020-04-20 00:00:00
230,2020-04-27 00:00:00
231,Month
232,2018-04-30 00:00:00
233,2018-05-07 00:00:00
234,2018-05-14 00:00:00
235,Month
236,2019-12-02 00:00:00
237,2019-12-09 00:00:00
238,2019-12-16 00:00:00
239,Month
240,2019-01-07 00:00:00
241,2019-01-14 00:00:00
242,2019-01-21 00:00:00
243,Month
244,2022-06-20 00:00:00
245,2022-06-27 00:00:00
246,2022-07-04 00:00:00
247,Month
248,2019-01-14 00:00:00
249,2019-01-21 00:00:00
